SOG,TWA,TWS
0.8,47.1,4.4
1.1,36.3,5.1
1.1,108.3,3.2
2.0,132.9,6.2
2.5,128.0,5.2
2.9,111.1,7.9
2.7,61.5,4.8
1.7,67.8,6.5
1.8,79.2,8.4
0.6,72.6,6.9
1.5,112.8,5.8
0.9,116.3,5.7
2.4,54.6,6.5
2.6,141.2,7.4
1.2,31.1,1.6
3.2,93.1,4.3
2.4,121.9,3.2
4.7,113.7,8.0
0.9,34.9,2.4
0.7,32.0,6.5
2.3,95.5,4.8
1.8,94.2,3.4
1.8,91.9,4.5
1.7,74.7,1.9
3.1,84.4,5.6
3.0,100.8,5.5
3.0,84.9,4.5
3.3,80.1,6.5
2.4,51.9,7.9
2.5,72.0,5.8
2.6,108.0,7.1
2.7,88.5,3.7
1.3,172.2,4.9
2.5,179.4,5.5
2.3,168.7,5.9
2.4,167.4,6.6
2.5,171.9,6.9
2.7,157.9,7.4
3.0,172.0,7.2
3.1,177.2,6.8
2.8,168.7,7.3
2.8,159.0,7.0
1.7,139.9,3.7
3.0,147.9,7.7
3.6,134.4,8.2
4.5,110.4,7.6
4.3,127.2,8.8
3.9,120.3,7.7
4.5,105.8,7.4
4.0,119.3,6.4
3.2,119.7,6.2
3.6,119.5,7.1
3.8,79.8,6.3
3.5,130.9,8.5
4.1,99.9,8.4
4.0,100.2,7.8
3.8,118.2,8.6
4.7,121.5,11.2
2.9,104.5,7.2
4.3,131.1,9.8
3.1,120.2,8.0
3.6,123.3,8.1
3.2,137.9,7.1
3.7,171.3,8.4
5.2,174.2,9.0
5.2,151.4,8.5
5.5,156.8,8.4
0.5,167.5,7.3
2.9,86.5,7.8
4.3,85.3,11.8
6.5,110.6,18.3
4.6,62.6,10.5
2.6,40.8,10.4
5.0,78.7,11.0
4.9,60.4,12.2
4.4,48.9,10.4
5.1,56.2,11.7
5.5,50.9,16.4
4.9,52.4,12.3
3.5,52.0,11.1
1.8,65.5,12.1
5.3,48.4,12.2
5.7,68.9,14.5
5.0,72.5,10.9
2.7,14.0,16.5
4.7,70.1,12.6
3.1,74.8,11.5
3.3,56.5,11.1
5.5,75.6,12.4
1.8,27.1,13.9
1.7,4.5,10.7
2.7,90.8,9.4
5.5,127.7,15.2
5.5,129.2,15.8
5.5,115.8,16.9
5.5,159.5,15.1
4.6,126.2,9.0
0.9,101.7,10.8
1.6,23.4,10.4
1.1,41.2,13.1
0.5,116.0,7.2
1.7,0.5,11.0
5.1,36.6,11.0
5.4,116.3,11.7
5.1,78.3,10.5
1.4,6.1,11.0
3.1,170.1,11.9
4.3,110.0,13.7
6.0,167.4,14.5
5.9,168.0,14.2
1.7,17.7,12.4
4.3,174.6,12.4
5.1,142.1,13.2
4.9,145.7,13.1
4.9,146.3,11.0
5.0,178.5,11.8
4.8,178.4,12.4
4.8,179.2,11.3
4.9,169.4,11.3
5.1,175.0,12.3
5.3,171.0,12.0
4.6,174.6,10.7
5.0,173.7,11.7
5.2,174.7,11.6
5.0,179.9,11.3
4.9,150.7,13.4
4.5,163.0,11.5
4.5,173.0,11.5
4.7,154.1,12.1
5.3,151.0,14.1
4.8,145.2,12.0
3.2,147.4,10.0
4.2,156.5,11.2
4.7,157.1,11.9
4.6,172.5,12.9
4.3,171.6,11.0
5.4,173.2,13.8
5.2,175.6,13.2
5.4,171.2,12.6
5.4,169.8,14.7
4.2,160.4,12.5
4.1,172.7,13.0
4.4,162.0,12.6
4.9,169.1,13.2
5.5,169.0,12.6
4.8,168.4,14.3
4.3,165.6,11.0
5.1,164.5,12.3
4.6,166.0,11.6
4.5,154.7,10.8
4.0,166.9,10.6
4.1,175.5,10.6
4.2,162.4,10.1
4.2,158.7,11.1
4.5,167.8,11.9
4.6,162.6,11.5
5.1,131.9,12.5
4.7,142.1,11.3
4.9,140.4,12.7
4.5,110.6,9.0
4.7,120.5,10.6
4.4,154.4,10.6
4.4,145.3,11.3
3.8,108.5,8.9
3.8,173.4,9.7
3.8,165.3,9.2
3.9,157.8,9.3
4.4,146.2,10.0
4.7,146.9,11.0
4.0,137.7,9.9
5.2,135.5,12.3
4.2,153.9,9.3
4.7,140.9,11.0
4.0,140.0,8.5
3.9,141.0,9.9
4.4,132.0,10.5
3.7,128.0,8.5
3.7,113.8,11.7
1.8,123.0,9.0
2.4,127.0,7.3
2.2,132.1,6.9
2.6,149.8,5.8
2.7,165.9,8.0
2.4,118.6,7.2
2.0,124.3,7.9
1.7,112.1,5.2
2.4,139.2,7.9
3.4,144.9,6.9
5.4,134.8,8.7
3.7,101.2,9.4
3.3,145.0,6.5
2.9,93.4,3.6
3.2,161.3,4.8
3.3,128.0,5.4
2.8,88.5,4.5
3.0,123.4,7.0
2.5,81.1,11.0
3.3,136.0,13.0
5.7,170.2,12.8
3.6,173.7,12.8
4.8,166.4,14.5
4.3,174.3,10.2
4.9,160.5,13.8
4.9,154.5,14.2
4.8,171.7,13.1
5.1,160.9,14.4
4.6,165.9,13.0
5.0,164.8,14.6
4.8,176.1,12.2
3.4,174.7,10.5
4.1,165.3,11.5
4.9,172.2,13.0
5.3,171.6,11.8
5.6,162.4,14.5
4.9,176.1,13.6
5.2,125.3,10.8
2.3,79.4,9.0
3.4,68.1,6.2
3.5,94.3,7.6
3.5,86.6,7.5
3.1,93.2,7.9
3.0,91.0,8.5
3.0,138.8,5.6
3.1,92.2,6.9
4.9,110.8,6.6
5.3,145.5,8.5
2.0,164.1,6.6
0.5,33.8,5.0
2.4,116.3,5.8
0.5,64.9,4.9
